booking_date,channel,category,geography,bookings,transacted_value,revenue,spend,profit
2024-01-01,DIRECT,FLIGHT,DE,122,59626,2272,0,2272
2024-01-01,DIRECT,FLIGHT,ES,35,18473,1036,0,1036
2024-01-01,DIRECT,FLIGHT,FR,75,59126,2432,0,2432
2024-01-01,DIRECT,FLIGHT,GB,36,22175,1015,0,1015
2024-01-01,DIRECT,FLIGHT,IT,35,23448,906,0,906
2024-01-01,DIRECT,FLIGHT,OTHER,56,25389,1724,0,1724
2024-01-01,DIRECT,FLIGHT + HOTEL,DE,24,29913,3006,0,3006
2024-01-01,DIRECT,FLIGHT + HOTEL,ES,72,107214,12271,0,12271
2024-01-01,DIRECT,FLIGHT + HOTEL,FR,113,131422,10779,0,10779
2024-01-01,DIRECT,FLIGHT + HOTEL,GB,14,16111,1898,0,1898
2024-01-01,DIRECT,FLIGHT + HOTEL,IT,30,51357,6068,0,6068
2024-01-01,DIRECT,FLIGHT + HOTEL,OTHER,16,17028,1855,0,1855
2024-01-01,DIRECT,HOTEL,DE,23,7864,920,0,920
2024-01-01,DIRECT,HOTEL,ES,22,7032,862,0,862
2024-01-01,DIRECT,HOTEL,FR,103,56596,6435,0,6435
2024-01-01,DIRECT,HOTEL,GB,5,1010,100,0,100
2024-01-01,DIRECT,HOTEL,IT,30,24476,2621,0,2621
2024-01-01,DIRECT,HOTEL,OTHER,11,5616,528,0,528
2024-01-01,META,FLIGHT,DE,180,119205,2001,2057,-56
2024-01-01,META,FLIGHT,ES,416,208146,7715,5292,2423
2024-01-01,META,FLIGHT,FR,477,331917,7254,7022,232
2024-01-01,META,FLIGHT,GB,116,49964,1635,1356,279
2024-01-01,META,FLIGHT,IT,131,144386,2521,1660,861
2024-01-01,META,FLIGHT,OTHER,1208,776219,19850,19764,86
2024-01-01,META,FLIGHT + HOTEL,DE,0,0,0,0,0
2024-01-01,META,FLIGHT + HOTEL,ES,4,4395,502,164,338
2024-01-01,META,FLIGHT + HOTEL,FR,8,10087,802,118,684
2024-01-01,META,FLIGHT + HOTEL,GB,0,0,0,0,0
2024-01-01,META,FLIGHT + HOTEL,IT,4,6985,711,85,626
2024-01-01,META,FLIGHT + HOTEL,OTHER,13,28432,3663,1811,1852
2024-01-01,META,HOTEL,DE,7,1829,217,91,126
2024-01-01,META,HOTEL,ES,21,17940,1325,674,651
2024-01-01,META,HOTEL,FR,33,26521,2539,2191,348
2024-01-01,META,HOTEL,GB,7,1877,239,112,127
2024-01-01,META,HOTEL,IT,35,11785,1187,724,463
2024-01-01,META,HOTEL,OTHER,19,8979,1247,368,879
2024-01-01,SEM,FLIGHT,DE,139,59681,2652,2078,574
2024-01-01,SEM,FLIGHT,ES,17,13947,894,566,328
2024-01-01,SEM,FLIGHT,FR,65,31433,1386,2238,-852
2024-01-01,SEM,FLIGHT,GB,129,35927,1192,2837,-1645
2024-01-01,SEM,FLIGHT,IT,46,32267,1508,1511,-3
2024-01-01,SEM,FLIGHT,OTHER,65,34849,2229,2862,-633
2024-01-01,SEM,FLIGHT + HOTEL,DE,42,68965,8390,7864,526
2024-01-01,SEM,FLIGHT + HOTEL,ES,61,126609,13719,7816,5903
2024-01-01,SEM,FLIGHT + HOTEL,FR,160,252896,18433,20039,-1606
2024-01-01,SEM,FLIGHT + HOTEL,GB,26,28313,2863,2441,422
2024-01-01,SEM,FLIGHT + HOTEL,IT,124,228554,31076,16017,15059
2024-01-01,SEM,FLIGHT + HOTEL,OTHER,46,66726,6476,5056,1420
2024-01-01,SEM,HOTEL,DE,13,24461,2675,304,2371
2024-01-01,SEM,HOTEL,ES,5,3817,428,94,334
2024-01-01,SEM,HOTEL,FR,61,33180,4954,4178,776
2024-01-01,SEM,HOTEL,GB,5,1432,201,142,59
2024-01-01,SEM,HOTEL,IT,41,16946,2176,1117,1059
2024-01-01,SEM,HOTEL,OTHER,12,10295,936,151,785
2024-01-01,SEO,FLIGHT,DE,31,16077,1431,0,1431
2024-01-01,SEO,FLIGHT,ES,3,1680,254,0,254
2024-01-01,SEO,FLIGHT,FR,21,18762,1207,0,1207
2024-01-01,SEO,FLIGHT,GB,16,5942,435,0,435
2024-01-01,SEO,FLIGHT,IT,31,21981,668,0,668
2024-01-01,SEO,FLIGHT,OTHER,14,5691,602,0,602
2024-01-01,SEO,FLIGHT + HOTEL,DE,10,8351,953,0,953
2024-01-01,SEO,FLIGHT + HOTEL,ES,33,79014,5289,0,5289
2024-01-01,SEO,FLIGHT + HOTEL,FR,50,54744,4813,0,4813
2024-01-01,SEO,FLIGHT + HOTEL,GB,3,2727,206,0,206
2024-01-01,SEO,FLIGHT + HOTEL,IT,41,45128,5255,0,5255
2024-01-01,SEO,FLIGHT + HOTEL,OTHER,4,7895,395,0,395
2024-01-01,SEO,HOTEL,DE,10,3090,413,0,413
2024-01-01,SEO,HOTEL,ES,15,12976,1592,0,1592
2024-01-01,SEO,HOTEL,FR,41,16080,2046,0,2046
2024-01-01,SEO,HOTEL,GB,2,203,-56,0,-56
2024-01-01,SEO,HOTEL,IT,25,12753,1310,0,1310
2024-01-01,SEO,HOTEL,OTHER,7,2725,330,0,330
2024-01-02,DIRECT,FLIGHT,DE,134,53872,1198,0,1198
2024-01-02,DIRECT,FLIGHT,ES,67,35401,1068,0,1068
2024-01-02,DIRECT,FLIGHT,FR,77,50453,2237,0,2237
2024-01-02,DIRECT,FLIGHT,GB,72,27243,862,0,862
2024-01-02,DIRECT,FLIGHT,IT,67,50123,1560,0,1560
2024-01-02,DIRECT,FLIGHT,OTHER,58,25507,1490,0,1490
2024-01-02,DIRECT,FLIGHT + HOTEL,DE,57,53727,5086,0,5086
2024-01-02,DIRECT,FLIGHT + HOTEL,ES,75,163513,17647,0,17647
2024-01-02,DIRECT,FLIGHT + HOTEL,FR,157,168786,11420,0,11420
2024-01-02,DIRECT,FLIGHT + HOTEL,GB,18,24256,2113,0,2113
2024-01-02,DIRECT,FLIGHT + HOTEL,IT,74,145652,11906,0,11906
2024-01-02,DIRECT,FLIGHT + HOTEL,OTHER,12,22377,1117,0,1117
2024-01-02,DIRECT,HOTEL,DE,30,18300,2574,0,2574
2024-01-02,DIRECT,HOTEL,ES,25,9983,1403,0,1403
